target_id,abundance
BGIOSGA013239-TA,119.0
BGIOSGA022107-TA,3.0
BGIOSGA036507-TA,24.0
BGIOSGA032684-TA,188.0
BGIOSGA024392-TA,2.0
BGIOSGA000752-TA,80.0
BGIOSGA019027-TA,6.0
BGIOSGA026092-TA,4.0
BGIOSGA001652-TA,8.0
BGIOSGA036579-TA,4.0
BGIOSGA022597-TA,67.0
BGIOSGA018579-TA,115.0
BGIOSGA008622-TA,1.0
BGIOSGA004573-TA,8.0
BGIOSGA025853-TA,56.0
BGIOSGA013861-TA,14.0
BGIOSGA030264-TA,161.0
BGIOSGA001374-TA,177.0
BGIOSGA019269-TA,70.0
BGIOSGA024298-TA,111.0
BGIOSGA001937-TA,23.0
BGIOSGA013329-TA,1.0
BGIOSGA003282-TA,12.0
BGIOSGA026959-TA,78.1762
BGIOSGA024810-TA,16.0
BGIOSGA005535-TA,9.0
BGIOSGA021039-TA,15.0
BGIOSGA011771-TA,93.0
BGIOSGA023305-TA,49.0
BGIOSGA036370-TA,19.0
BGIOSGA020697-TA,13.0
BGIOSGA022741-TA,77.0
BGIOSGA003329-TA,55.0
BGIOSGA030267-TA,23.0
BGIOSGA005524-TA,193.0
BGIOSGA006058-TA,55.0
BGIOSGA005338-TA,23.0
BGIOSGA006740-TA,10.0
BGIOSGA016445-TA,120.555
BGIOSGA017051-TA,7.0
BGIOSGA034558-TA,23.0
BGIOSGA013685-TA,102.0
BGIOSGA032612-TA,7.0
BGIOSGA022048-TA,3.0
BGIOSGA011915-TA,205.0
BGIOSGA012010-TA,53.0
BGIOSGA022028-TA,76.0
BGIOSGA034623-TA,28.322
BGIOSGA006141-TA,4.0
BGIOSGA024650-TA,7.0
BGIOSGA025705-TA,39.4524
BGIOSGA007786-TA,39.0
BGIOSGA031981-TA,316.0
BGIOSGA035250-TA,98.0
BGIOSGA012285-TA,13.0
BGIOSGA032339-TA,15.0
BGIOSGA032341-TA,122.992
BGIOSGA025258-TA,338.0
BGIOSGA014372-TA,34.0
BGIOSGA023183-TA,30.0
BGIOSGA007913-TA,3.0
BGIOSGA014312-TA,162.0
BGIOSGA034158-TA,48.0
BGIOSGA037603-TA,18.7686
BGIOSGA035646-TA,13.0
BGIOSGA000353-TA,49.0
BGIOSGA004642-TA,31.0
BGIOSGA020421-TA,68.0
BGIOSGA001447-TA,1.0
BGIOSGA037003-TA,0.5
BGIOSGA036737-TA,49.431
BGIOSGA010543-TA,394.0
BGIOSGA035696-TA,1854.0
BGIOSGA031970-TA,15.0
BGIOSGA033278-TA,48.0
BGIOSGA017413-TA,274.0
BGIOSGA002879-TA,9.0
BGIOSGA014498-TA,47.0
BGIOSGA012352-TA,68.0
BGIOSGA034518-TA,1.0
BGIOSGA021834-TA,1.33187
BGIOSGA037575-TA,39.8144
BGIOSGA017799-TA,29.0
BGIOSGA012665-TA,44.8396
BGIOSGA012251-TA,28.0
BGIOSGA011659-TA,17.0
BGIOSGA029593-TA,155.0
BGIOSGA029906-TA,12.0
BGIOSGA001317-TA,27.0
BGIOSGA017996-TA,104.0
BGIOSGA000169-TA,1.0
BGIOSGA029174-TA,126.0
BGIOSGA030052-TA,14.0
BGIOSGA021325-TA,29.0
BGIOSGA018011-TA,1.0
BGIOSGA002801-TA,7.0
BGIOSGA013573-TA,18.0
BGIOSGA005314-TA,18.0
BGIOSGA036756-TA,5.0
BGIOSGA028991-TA,7.0
BGIOSGA008967-TA,21.0
BGIOSGA008904-TA,40.0
BGIOSGA036743-TA,57.3647
BGIOSGA001054-TA,278.0
BGIOSGA031597-TA,12.0
BGIOSGA017253-TA,31.0
BGIOSGA011478-TA,313.0
BGIOSGA020453-TA,6.0
BGIOSGA012617-TA,340.0
BGIOSGA024548-TA,5.0
BGIOSGA012069-TA,41.0
BGIOSGA036929-TA,17.0
BGIOSGA025635-TA,82.0
BGIOSGA013356-TA,3.0
BGIOSGA024671-TA,27.0
BGIOSGA015338-TA,97.0
BGIOSGA026582-TA,1.0
BGIOSGA034831-TA,4.48982
BGIOSGA029702-TA,1.0
BGIOSGA012747-TA,3.0
BGIOSGA034934-TA,378.0
BGIOSGA004297-TA,14.0
BGIOSGA031038-TA,3.0
BGIOSGA004794-TA,8.0
BGIOSGA036344-TA,79.0
BGIOSGA028838-TA,96.0
BGIOSGA032771-TA,384.0
BGIOSGA033147-TA,1.0
BGIOSGA020994-TA,231.0
BGIOSGA030668-TA,23.0
BGIOSGA015553-TA,204.0
BGIOSGA021922-TA,168.0
BGIOSGA012630-TA,33.0
BGIOSGA030695-TA,3.0
BGIOSGA013993-TA,46.0
BGIOSGA015205-TA,83.0
BGIOSGA033671-TA,6.0
BGIOSGA016279-TA,755.0
BGIOSGA001035-TA,57.0
BGIOSGA006781-TA,24.0
BGIOSGA009088-TA,134.0
BGIOSGA033818-TA,157.0
BGIOSGA027477-TA,1.0
BGIOSGA036769-TA,329.26
BGIOSGA020768-TA,13.0
BGIOSGA004032-TA,11.0
BGIOSGA011521-TA,97.0
BGIOSGA002543-TA,222.0
BGIOSGA014738-TA,39.0
BGIOSGA030115-TA,62.0
BGIOSGA032409-TA,19.0
BGIOSGA011545-TA,162.0
BGIOSGA023506-TA,6.79054
BGIOSGA017447-TA,5.0
BGIOSGA037378-TA,2.0
BGIOSGA010822-TA,469.0
BGIOSGA036411-TA,87.0
BGIOSGA021744-TA,15.0
BGIOSGA020806-TA,1.0
BGIOSGA018808-TA,116.0
BGIOSGA009238-TA,41.0
BGIOSGA034996-TA,19.0
