target_id,abundance,abundance
PRQ61060,1.95295,1.95295
PRQ61051,0.825111,0.825111
PRQ61050,2.0,2.0
PRQ61049,2.08187,2.08187
PRQ61036,1.0,1.0
PRQ61025,1.0,1.0
PRQ61039,1.0,1.0
PRQ61016,9.39028,9.39028
PRQ61014,1.0,1.0
PRQ61010,1.0,1.0
PRQ60993,3.0,3.0
PRQ61007,1.0,1.0
PRQ60994,2.48924,2.48924
PRQ61008,1.27784,1.27784
PRQ60979,3.6853,3.6853
PRQ60975,8.0,8.0
PRQ60977,10.0,10.0
PRQ60983,18.779,18.779
PRQ60958,7.0,7.0
PRQ60959,2.0,2.0
PRQ60964,2.13255,2.13255
PRQ60961,7.0,7.0
PRQ60966,0.222931,0.222931
PRQ60949,1.82653,1.82653
PRQ60951,3.04251,3.04251
PRQ60928,3.0,3.0
PRQ60921,0.343688,0.343688
PRQ60947,2.0,2.0
PRQ60916,1.0,1.0
PRQ60909,7.72464,7.72464
PRQ60918,5.04349,5.04349
PRQ60910,4.78863,4.78863
PRQ60893,1.51077,1.51077
PRQ60904,2.0,2.0
PRQ60882,1.0,1.0
PRQ60879,2.0,2.0
PRQ60873,4.0,4.0
PRQ60872,6.0,6.0
PRQ60874,1.0,1.0
PRQ60863,1.23979,1.23979
PRQ60862,9.99593,9.99593
PRQ60859,2.10059,2.10059
PRQ60864,27.4045,27.4045
PRQ60870,1.46745,1.46745
PRQ60866,7.16299,7.16299
PRQ60861,1.01214,1.01214
PRQ60849,5.14574,5.14574
PRQ60855,3.0,3.0
PRQ60854,1.60061,1.60061
PRQ60847,1.0,1.0
PRQ60856,2.0,2.0
PRQ60836,10.9976,10.9976
PRQ60820,1.0,1.0
PRQ60814,2.0,2.0
PRQ60794,0.0690126,0.0690126
PRQ60793,226.296,226.296
PRQ60797,1.0,1.0
PRQ60791,1.90826,1.90826
PRQ60796,2.33169,2.33169
PRQ60786,10.0,10.0
PRQ60775,1.0,1.0
PRQ60771,15.1807,15.1807
PRQ60785,5.0,5.0
PRQ60784,4.08228,4.08228
PRQ60759,1.0,1.0
PRQ57670,5.0,5.0
PRQ54444,8.0,8.0
PRQ56434,2.0,2.0
PRQ57224,2.0,2.0
PRQ60677,3.45548,3.45548
PRQ57007,4.0,4.0
PRQ56389,5.0,5.0
PRQ60664,31.0,31.0
PRQ59784,79.0,79.0
PRQ56983,7.0,7.0
PRQ57227,2.0,2.0
PRQ56249,0.151299,0.151299
PRQ59480,1.0,1.0
PRQ59502,9.0,9.0
PRQ57711,97.0,97.0
PRQ60026,3.0,3.0
PRQ57444,1.0,1.0
PRQ60496,1.0,1.0
PRQ59950,9.62686,9.62686
PRQ54501,1.92112,1.92112
PRQ58521,16.0,16.0
PRQ56601,7.0,7.0
PRQ59402,61.0,61.0
PRQ59581,18.0,18.0
PRQ57687,8.0,8.0
PRQ59448,8.0,8.0
PRQ60477,9.0,9.0
PRQ56017,5.78764,5.78764
PRQ56084,40.0,40.0
PRQ59716,38.0,38.0
PRQ54889,1.0,1.0
PRQ58610,3.0,3.0
PRQ54533,12.0,12.0
PRQ59183,8.81179,8.81179
PRQ59727,18.0,18.0
PRQ58256,1.0,1.0
PRQ60749,33.0,33.0
PRQ54832,2.0,2.0
PRQ58198,105.0,105.0
PRQ60705,28.0,28.0
PRQ60119,47.0,47.0
PRQ57949,1.0,1.0
PRQ56176,39.0,39.0
PRQ57590,7.0,7.0
PRQ60115,2.09947,2.09947
PRQ59109,0.815233,0.815233
PRQ55454,1.0,1.0
PRQ55125,16.0,16.0
PRQ56622,6.29347,6.29347
PRQ56230,3.0,3.0
PRQ57499,70.0,70.0
PRQ57490,2.0,2.0
PRQ54729,45.9252,45.9252
PRQ60514,1.0,1.0
PRQ59034,1.0,1.0
PRQ58821,3.0,3.0
PRQ57912,1.0,1.0
PRQ57365,6.0,6.0
PRQ60415,1.0,1.0
PRQ56038,1.0,1.0
PRQ57413,3.0,3.0
PRQ59867,4.0,4.0
PRQ56386,4.0,4.0
