target_id	length	eff_length	est_counts	tpm
BGIOSGA013239-TA	1185	900.987	119	22.7358
BGIOSGA028856-TA	543	259.969	0	0
BGIOSGA017372-TA	447	167.835	0	0
BGIOSGA022107-TA	1782	1497.99	3	0.344743
BGIOSGA032186-TA	1089	804.987	0	0
BGIOSGA035117-TA	366	103.266	0	0
BGIOSGA036507-TA	1887	1602.99	24	2.57729
BGIOSGA004130-TA	267	57.4583	0	0
BGIOSGA033191-TA	351	93.32	0	0
BGIOSGA032684-TA	975	690.987	188	46.835
BGIOSGA024392-TA	315	73.9281	2	4.65696
BGIOSGA000752-TA	1890	1605.99	80	8.57492
BGIOSGA031854-TA	906	622.049	0	0
BGIOSGA019027-TA	1077	792.987	6	1.30247
BGIOSGA005053-TA	663	379.328	0	0
BGIOSGA026092-TA	1341	1056.99	4	0.651437
BGIOSGA001652-TA	852	568.049	8	2.4243
BGIOSGA036579-TA	3015	2730.99	4	0.252129
BGIOSGA004321-TA	1512	1227.99	0	0
BGIOSGA022597-TA	1887	1602.99	67	7.19494
BGIOSGA026268-TA	1245	960.987	0	0
BGIOSGA018579-TA	381	113.564	115	174.317
BGIOSGA017484-TA	894	610.049	0	0
BGIOSGA009189-TA	798	514.209	0	0
BGIOSGA008622-TA	1479	1194.99	1	0.144052
BGIOSGA024943-TA	537	254.047	0	0
BGIOSGA004573-TA	3084	2799.99	8	0.491831
BGIOSGA025853-TA	1416	1131.99	56	8.51587
BGIOSGA013861-TA	1323	1038.99	14	2.31953
BGIOSGA002007-TA	375	109.11	0	0
BGIOSGA008154-TA	495	212.937	0	0
BGIOSGA030264-TA	1134	849.987	161	32.6059
BGIOSGA001911-TA	675	391.29	0	0
BGIOSGA020673-TA	1086	801.987	0	0
BGIOSGA001374-TA	798	514.209	177	59.2537
BGIOSGA019269-TA	1095	810.987	70	14.8582
BGIOSGA024298-TA	1095	810.987	111	23.5609
BGIOSGA001937-TA	726	442.209	23	8.95328
BGIOSGA013329-TA	1344	1059.99	1	0.162398
BGIOSGA003282-TA	987	702.987	12	2.93844
BGIOSGA026959-TA	825	541.158	78.1762	24.8675
BGIOSGA024810-TA	387	117.967	16	23.3476
BGIOSGA015096-TA	693	409.251	0	0
BGIOSGA027000-TA	522	239.222	0	0
BGIOSGA005535-TA	1482	1197.99	9	1.29322
BGIOSGA021039-TA	1428	1143.99	15	2.25711
BGIOSGA011771-TA	876	592.049	93	27.0401
BGIOSGA023305-TA	540	256.995	49	32.8211
BGIOSGA025691-TA	408	134.128	0	0
BGIOSGA036370-TA	3102	2817.99	19	1.16064
BGIOSGA020697-TA	723	439.209	13	5.09511
BGIOSGA025693-TA	270	58.2874	0	0
BGIOSGA022741-TA	1629	1344.99	77	9.85496
BGIOSGA025366-TA	741	457.209	0	0
BGIOSGA003329-TA	2400	2115.99	55	4.47437
BGIOSGA029474-TA	621	337.328	0	0
BGIOSGA030267-TA	528	245.222	23	16.1454
BGIOSGA005524-TA	2073	1788.99	193	18.5709
BGIOSGA001634-TA	246	52.2714	0	0
BGIOSGA010798-TA	423	146.536	0	0
BGIOSGA006058-TA	384	115.636	55	81.8749
BGIOSGA035393-TA	888	604.049	0	0
BGIOSGA005338-TA	606	322.361	23	12.2819
BGIOSGA029529-TA	483	201.414	0	0
BGIOSGA034061-TA	750	466.209	0	0
BGIOSGA006740-TA	393	122.626	10	14.0379
BGIOSGA028679-TA	642	358.328	0	0
BGIOSGA016445-TA	864	580.049	120.555	35.777
BGIOSGA019020-TA	930	645.987	0	0
BGIOSGA017051-TA	849	565.049	7	2.13253
BGIOSGA022749-TA	2316	2031.99	0	0
BGIOSGA004662-TA	546	262.943	0	0
BGIOSGA034558-TA	1026	741.987	23	5.33598
BGIOSGA013685-TA	813	529.158	102	33.1816
BGIOSGA032612-TA	600	316.393	7	3.80849
BGIOSGA019044-TA	1080	795.987	0	0
BGIOSGA004688-TA	2628	2343.99	0	0
BGIOSGA022048-TA	726	442.209	3	1.16782
BGIOSGA011915-TA	597	313.425	205	112.591
BGIOSGA012010-TA	603	319.361	53	28.5677
BGIOSGA022028-TA	2277	1992.99	76	6.56434
BGIOSGA034623-TA	438	159.706	28.322	30.527
BGIOSGA006141-TA	1365	1080.99	4	0.636974
BGIOSGA024650-TA	615	331.328	7	3.63682
BGIOSGA025705-TA	408	134.128	39.4524	50.6335
BGIOSGA007786-TA	3456	3171.99	39	2.11649
BGIOSGA031981-TA	840	556.049	316	97.8264
BGIOSGA035250-TA	2757	2472.99	98	6.8216
BGIOSGA012285-TA	321	76.8077	13	29.1354
BGIOSGA032339-TA	555	271.862	15	9.49783
BGIOSGA016176-TA	177	35.4125	0	0
BGIOSGA032341-TA	2094	1809.99	122.992	11.6972
BGIOSGA033058-TA	1623	1338.99	0	0
BGIOSGA026195-TA	426	149.078	0	0
BGIOSGA000558-TA	315	73.9281	0	0
BGIOSGA025258-TA	1218	933.987	338	62.2957
BGIOSGA000736-TA	738	454.209	0	0
BGIOSGA014372-TA	1023	738.987	34	7.91999
BGIOSGA023183-TA	342	87.9258	30	58.7337
BGIOSGA007913-TA	252	53.4592	3	9.66008
BGIOSGA032492-TA	1452	1167.99	0	0
BGIOSGA014312-TA	2091	1806.99	162	15.4327
BGIOSGA028198-TA	1122	837.987	0	0
BGIOSGA034158-TA	1371	1086.99	48	7.6015
BGIOSGA037603-TA	615	331.328	18.7686	9.75112
BGIOSGA035646-TA	2058	1773.99	13	1.26146
BGIOSGA020047-TA	231	49.0021	0	0
BGIOSGA000353-TA	1023	738.987	49	11.4141
BGIOSGA028261-TA	639	355.328	0	0
BGIOSGA004642-TA	1404	1119.99	31	4.76465
