target_id,length,eff_length,est_counts,tpm
PRQ61060,409,144.67,1.95295,39.5067
PRQ61051,310,72.6108,0.825111,33.256
PRQ61050,433,166.661,2.0,35.1199
PRQ61049,449,181.322,2.08187,33.6018
PRQ61036,1496,1219.7,1.0,2.39941
PRQ61025,878,603.335,1.0,4.85065
PRQ61039,407,143.0,1.0,20.4655
PRQ61016,23929,23652.7,9.39028,1.16187
PRQ61014,1045,768.701,1.0,3.80716
PRQ61010,600,329.254,1.0,8.88846
PRQ60993,676,404.131,3.0,21.7249
PRQ61007,2664,2387.7,1.0,1.22568
PRQ60994,2931,2654.7,2.48924,2.74417
PRQ61008,2676,2399.7,1.27784,1.55839
PRQ60979,771,497.968,3.6853,21.6586
PRQ60975,2985,2708.7,8.0,8.64345
PRQ60977,1427,1150.7,10.0,25.4329
PRQ60983,1242,965.701,18.779,56.9099
PRQ60958,3723,3446.7,7.0,5.94364
PRQ60959,500,230.354,2.0,25.4093
PRQ60964,1764,1487.7,2.13255,4.1951
PRQ60961,771,497.968,7.0,41.1391
PRQ60966,1692,1415.7,0.222931,0.460848
PRQ60949,579,308.45,1.82653,17.3301
PRQ60951,264,51.6201,3.04251,172.493
PRQ60928,657,385.491,3.0,22.7754
PRQ60921,538,267.832,0.343688,3.75543
PRQ60947,1296,1019.7,2.0,5.74005
PRQ60916,486,216.714,1.0,13.5043
PRQ60909,1227,950.701,7.72464,23.7789
PRQ60918,18254,17977.7,5.04349,0.821023
PRQ60910,694,421.84,4.78863,33.2217
PRQ60893,813,539.55,1.51077,8.19454
PRQ60904,3212,2935.7,2.0,1.99378
PRQ60882,1865,1588.7,1.0,1.84211
PRQ60879,1782,1505.7,2.0,3.88731
PRQ60873,1107,830.701,4.0,14.092
PRQ60872,2413,2136.7,6.0,8.218
PRQ60874,507,237.165,1.0,12.3398
PRQ60863,531,260.859,1.23979,13.9092
PRQ60862,291,62.3742,9.99593,469.004
PRQ60859,289,61.5135,2.10059,99.9376
PRQ60864,2684,2407.7,27.4045,33.3102
PRQ60870,387,126.542,1.46745,33.9382
PRQ60866,525,254.99,7.16299,82.2109
PRQ60861,972,695.842,1.01214,4.25684
PRQ60849,3187,2910.7,5.14574,5.17379
PRQ60855,1524,1247.7,3.0,7.0367
PRQ60854,494,224.515,1.60061,20.8641
PRQ60847,480,210.953,1.0,13.8731
PRQ60856,1252,975.701,2.0,5.9989
PRQ60836,211,38.5904,10.9976,834.017
PRQ60820,4386,4109.7,1.0,0.712112
PRQ60814,394,132.244,2.0,44.26
PRQ60794,588,317.386,0.0690126,0.636355
PRQ60793,1644,1367.7,226.296,484.222
PRQ60797,977,700.842,1.0,4.17579
PRQ60791,681,409.049,1.90826,13.6527
PRQ60796,1332,1055.7,2.33169,6.46382
PRQ60786,1793,1516.7,10.0,19.2956
PRQ60775,1673,1396.7,1.0,2.09534
PRQ60771,590,319.354,15.1807,139.116
PRQ60785,1470,1193.7,5.0,12.2584
PRQ60784,2395,2118.7,4.08228,5.63886
PRQ60759,830,556.385,1.0,5.25996
PRQ57670,2357,2080.7,5.0,7.03265
PRQ54444,1510,1233.7,8.0,18.9775
PRQ56434,1149,872.701,2.0,6.70692
PRQ57224,764,491.018,2.0,11.9204
PRQ60677,5057,4780.7,3.45548,2.11531
PRQ57007,710,437.582,4.0,26.7522
PRQ56389,3450,3173.7,5.0,4.61065
PRQ60664,808,534.604,31.0,169.702
PRQ59784,4521,4244.7,79.0,54.4676
PRQ56983,2292,2015.7,7.0,10.1632
PRQ57227,941,665.251,2.0,8.79838
PRQ56249,468,199.434,0.151299,2.22022
PRQ59480,1359,1082.7,1.0,2.70302
PRQ59502,2223,1946.7,9.0,13.5301
PRQ57711,2292,2015.7,97.0,140.833
PRQ60026,1377,1100.7,3.0,7.97646
PRQ57444,1359,1082.7,1.0,2.70302
PRQ60496,438,171.297,1.0,17.0847
PRQ59950,12276,11999.7,9.62686,2.34786
PRQ54501,941,665.251,1.92112,8.45137
PRQ58521,702,429.669,16.0,108.979
PRQ56601,931,655.517,7.0,31.2516
PRQ59402,2065,1788.7,61.0,99.8046
PRQ59581,1664,1387.7,18.0,37.9608
PRQ57687,1794,1517.7,8.0,15.4263
PRQ59448,1079,802.701,8.0,29.1672
PRQ60477,1665,1388.7,9.0,18.9667
PRQ56017,1698,1421.7,5.78764,11.9138
PRQ56084,12402,12125.7,40.0,9.65409
PRQ59716,1987,1710.7,38.0,65.0082
PRQ54889,620,349.05,1.0,8.38438
PRQ58610,2438,2161.7,3.0,4.06148
PRQ54533,1839,1562.7,12.0,22.4731
PRQ59183,2658,2381.7,8.81179,10.8277
PRQ59727,635,363.833,18.0,144.787
PRQ58256,1956,1679.7,1.0,1.74231
PRQ60749,2409,2132.7,33.0,45.2837
PRQ54832,620,349.05,2.0,16.7688
PRQ58198,7518,7241.7,105.0,42.4333
PRQ60705,816,542.441,28.0,151.065
PRQ60119,1141,864.701,47.0,159.071
PRQ57949,2114,1837.7,1.0,1.59251
PRQ56176,1307,1030.7,39.0,110.736
PRQ57590,1138,861.701,7.0,23.7739
PRQ60115,3736,3459.7,2.09947,1.77595
PRQ59109,644,372.684,0.815233,6.40176
PRQ55454,2334,2057.7,1.0,1.42225
PRQ55125,1161,884.701,16.0,52.9276
PRQ56622,1452,1175.7,6.29347,15.6658
PRQ56230,1766,1489.7,3.0,5.8936
PRQ57499,6077,5800.7,70.0,35.3164
PRQ57490,1568,1291.7,2.0,4.53134
PRQ54729,7666,7389.7,45.9252,18.1879
PRQ60514,1038,761.701,1.0,3.84215
PRQ59034,954,678.118,1.0,4.31572
PRQ58821,1772,1495.7,3.0,5.86996
PRQ57912,193,34.6887,1.0,84.3665
PRQ57365,5297,5020.7,6.0,3.4974
PRQ60415,4091,3814.7,1.0,0.767181
PRQ56038,674,402.172,1.0,7.27691
PRQ57413,3337,3060.7,3.0,2.86853
PRQ59867,851,576.987,4.0,20.2886
PRQ56386,588,317.386,4.0,36.8834
PRQ55885,1779,1502.7,3.0,5.84261
PRQ56254,809,535.604,1.0,5.46405
PRQ60323,1873,1596.7,5.0,9.16442
PRQ54969,2921,2644.7,62.0,68.6078
PRQ57473,1473,1196.7,22.0,53.8016
PRQ59558,3744,3467.7,9.0,7.59555
PRQ58024,415,150.132,1.0,19.4933
PRQ59123,2231,1954.7,1.0,1.49719
PRQ56244,6136,5859.7,1.0,0.49944
PRQ58670,1586,1309.7,3.0,6.70359
PRQ60437,231,42.4932,1.28839,88.733
PRQ58112,563,292.663,1.0,9.99977
PRQ59471,1096,819.701,32.0,114.249
PRQ57316,837,563.272,19.0,98.7174
PRQ60076,721,448.537,1.0,6.52469
PRQ60303,1055,778.701,1.0,3.75827
PRQ55625,2573,2296.7,22.0,28.0335
PRQ59222,5597,5320.7,2.0,1.10007
