target_id,length,eff_length,est_counts,tpm
BGIOSGA013239-TA,1185,900.987,119.0,22.7358
BGIOSGA022107-TA,1782,1497.99,3.0,0.344743
BGIOSGA036507-TA,1887,1602.99,24.0,2.57729
BGIOSGA032684-TA,975,690.987,188.0,46.835
BGIOSGA024392-TA,315,73.9281,2.0,4.65696
BGIOSGA000752-TA,1890,1605.99,80.0,8.57492
BGIOSGA019027-TA,1077,792.987,6.0,1.30247
BGIOSGA026092-TA,1341,1056.99,4.0,0.651437
BGIOSGA001652-TA,852,568.049,8.0,2.4243
BGIOSGA036579-TA,3015,2730.99,4.0,0.252129
BGIOSGA022597-TA,1887,1602.99,67.0,7.19494
BGIOSGA018579-TA,381,113.564,115.0,174.317
BGIOSGA008622-TA,1479,1194.99,1.0,0.144052
BGIOSGA004573-TA,3084,2799.99,8.0,0.491831
BGIOSGA025853-TA,1416,1131.99,56.0,8.51587
BGIOSGA013861-TA,1323,1038.99,14.0,2.31953
BGIOSGA030264-TA,1134,849.987,161.0,32.6059
BGIOSGA001374-TA,798,514.209,177.0,59.2537
BGIOSGA019269-TA,1095,810.987,70.0,14.8582
BGIOSGA024298-TA,1095,810.987,111.0,23.5609
BGIOSGA001937-TA,726,442.209,23.0,8.95328
BGIOSGA013329-TA,1344,1059.99,1.0,0.162398
BGIOSGA003282-TA,987,702.987,12.0,2.93844
BGIOSGA026959-TA,825,541.158,78.1762,24.8675
BGIOSGA024810-TA,387,117.967,16.0,23.3476
BGIOSGA005535-TA,1482,1197.99,9.0,1.29322
BGIOSGA021039-TA,1428,1143.99,15.0,2.25711
BGIOSGA011771-TA,876,592.049,93.0,27.0401
BGIOSGA023305-TA,540,256.995,49.0,32.8211
BGIOSGA036370-TA,3102,2817.99,19.0,1.16064
BGIOSGA020697-TA,723,439.209,13.0,5.09511
BGIOSGA022741-TA,1629,1344.99,77.0,9.85496
BGIOSGA003329-TA,2400,2115.99,55.0,4.47437
BGIOSGA030267-TA,528,245.222,23.0,16.1454
BGIOSGA005524-TA,2073,1788.99,193.0,18.5709
BGIOSGA006058-TA,384,115.636,55.0,81.8749
BGIOSGA005338-TA,606,322.361,23.0,12.2819
BGIOSGA006740-TA,393,122.626,10.0,14.0379
BGIOSGA016445-TA,864,580.049,120.555,35.777
BGIOSGA017051-TA,849,565.049,7.0,2.13253
BGIOSGA034558-TA,1026,741.987,23.0,5.33598
BGIOSGA013685-TA,813,529.158,102.0,33.1816
BGIOSGA032612-TA,600,316.393,7.0,3.80849
BGIOSGA022048-TA,726,442.209,3.0,1.16782
BGIOSGA011915-TA,597,313.425,205.0,112.591
BGIOSGA012010-TA,603,319.361,53.0,28.5677
BGIOSGA022028-TA,2277,1992.99,76.0,6.56434
BGIOSGA034623-TA,438,159.706,28.322,30.527
BGIOSGA006141-TA,1365,1080.99,4.0,0.636974
BGIOSGA024650-TA,615,331.328,7.0,3.63682
BGIOSGA025705-TA,408,134.128,39.4524,50.6335
BGIOSGA007786-TA,3456,3171.99,39.0,2.11649
BGIOSGA031981-TA,840,556.049,316.0,97.8264
BGIOSGA035250-TA,2757,2472.99,98.0,6.8216
BGIOSGA012285-TA,321,76.8077,13.0,29.1354
BGIOSGA032339-TA,555,271.862,15.0,9.49783
BGIOSGA032341-TA,2094,1809.99,122.992,11.6972
BGIOSGA025258-TA,1218,933.987,338.0,62.2957
BGIOSGA014372-TA,1023,738.987,34.0,7.91999
BGIOSGA023183-TA,342,87.9258,30.0,58.7337
BGIOSGA007913-TA,252,53.4592,3.0,9.66008
BGIOSGA014312-TA,2091,1806.99,162.0,15.4327
BGIOSGA034158-TA,1371,1086.99,48.0,7.6015
BGIOSGA037603-TA,615,331.328,18.7686,9.75112
BGIOSGA035646-TA,2058,1773.99,13.0,1.26146
BGIOSGA000353-TA,1023,738.987,49.0,11.4141
BGIOSGA004642-TA,1404,1119.99,31.0,4.76465
BGIOSGA020421-TA,816,532.158,68.0,21.9963
BGIOSGA001447-TA,402,129.455,1.0,1.32973
BGIOSGA037003-TA,1260,975.987,0.5,0.0881877
BGIOSGA036737-TA,1242,957.987,49.431,8.88224
BGIOSGA010543-TA,477,195.874,394.0,346.259
BGIOSGA035696-TA,2658,2373.99,1854.0,134.435
BGIOSGA031970-TA,1500,1215.99,15.0,2.12346
BGIOSGA033278-TA,495,212.937,48.0,38.8036
BGIOSGA017413-TA,2820,2535.99,274.0,18.5988
BGIOSGA002879-TA,1302,1017.99,9.0,1.52189
BGIOSGA014498-TA,1203,918.987,47.0,8.80381
BGIOSGA012352-TA,3111,2826.99,68.0,4.14064
BGIOSGA034518-TA,1524,1239.99,1.0,0.138824
BGIOSGA021834-TA,432,154.465,1.33187,1.48428
BGIOSGA037575-TA,342,87.9258,39.8144,77.9481
BGIOSGA017799-TA,312,72.7162,29.0,68.6513
BGIOSGA012665-TA,429,151.876,44.8396,50.8225
BGIOSGA012251-TA,1362,1077.99,28.0,4.47123
