target_id	length	eff_length	est_counts	tpm
PRQ61060	409	144.67	1.95295	39.5067
PRQ61057	722	449.537	0	0
PRQ61059	551	280.721	0	0
PRQ61058	534	263.832	0	0
PRQ61056	292	62.9715	0	0
PRQ61055	300	66.9003	0	0
PRQ61052	601	330.221	0	0
PRQ61054	417	151.99	0	0
PRQ61053	510	240.141	0	0
PRQ61051	310	72.6108	0.825111	33.256
PRQ61050	433	166.661	2	35.1199
PRQ61049	449	181.322	2.08187	33.6018
PRQ61048	406	142.164	0	0
PRQ61047	2663	2386.7	0	0
PRQ61046	3716	3439.7	0	0
PRQ61045	1539	1262.7	0	0
PRQ61044	407	143	0	0
PRQ61041	336	88.3937	0	0
PRQ61020	1502	1225.7	0	0
PRQ61040	231	42.4932	0	0
PRQ61034	253	47.874	0	0
PRQ61032	915	639.647	0	0
PRQ61033	1640	1363.7	0	0
PRQ61036	1496	1219.7	1	2.39941
PRQ61025	878	603.335	1	4.85065
PRQ61024	1724	1447.7	0	0
PRQ61026	1041	764.701	0	0
PRQ61031	1842	1565.7	0	0
PRQ61035	1260	983.701	0	0
PRQ61037	1497	1220.7	0	0
PRQ61021	421	155.609	0	0
PRQ61042	422	156.431	0	0
PRQ61023	475	206.165	0	0
PRQ61027	249	46.766	0	0
PRQ61022	1924	1647.7	0	0
PRQ61030	738	465.307	0	0
PRQ61018	530	259.885	0	0
PRQ61019	503	233.213	0	0
PRQ61017	1369	1092.7	0	0
PRQ61043	740	467.307	0	0
PRQ61039	407	143	1	20.4655
PRQ61029	3323	3046.7	0	0
PRQ61038	791	517.764	0	0
PRQ61028	675	403.131	0	0
PRQ61015	1515	1238.7	0	0
PRQ61016	23929	23652.7	9.39028	1.16187
PRQ61013	447	179.525	0	0
PRQ61014	1045	768.701	1	3.80716
PRQ60998	1035	758.701	0	0
PRQ60992	230	42.2625	0	0
PRQ61012	2730	2453.7	0	0
PRQ60988	2472	2195.7	0	0
PRQ60990	402	138.87	0	0
PRQ60989	366	109.6	0	0
PRQ60995	1714	1437.7	0	0
PRQ60991	2043	1766.7	0	0
PRQ61009	828	554.441	0	0
PRQ61001	369	111.963	0	0
PRQ61006	573	302.512	0	0
PRQ61005	651	379.646	0	0
PRQ61002	1913	1636.7	0	0
PRQ61003	3714	3437.7	0	0
PRQ61011	1143	866.701	0	0
PRQ61010	600	329.254	1	8.88846
PRQ60993	676	404.131	3	21.7249
PRQ61007	2664	2387.7	1	1.22568
PRQ61000	546	275.777	0	0
PRQ61004	1566	1289.7	0	0
PRQ60996	354	100.898	0	0
PRQ60999	321	78.83	0	0
PRQ60994	2931	2654.7	2.48924	2.74417
PRQ60997	749	476.26	0	0
PRQ61008	2676	2399.7	1.27784	1.55839
PRQ60987	348	96.5485	0	0
PRQ60986	501	231.284	0	0
PRQ60985	318	77.1353	0	0
PRQ60984	362	106.733	0	0
PRQ60971	627	356.014	0	0
PRQ60979	771	497.968	3.6853	21.6586
PRQ60973	621	350.05	0	0
PRQ60970	442	174.925	0	0
PRQ60976	1324	1047.7	0	0
PRQ60978	618	347.05	0	0
PRQ60974	680	408.049	0	0
PRQ60975	2985	2708.7	8	8.64345
PRQ60980	651	379.646	0	0
PRQ60981	501	231.284	0	0
PRQ60977	1427	1150.7	10	25.4329
PRQ60967	497	227.424	0	0
PRQ60972	675	403.131	0	0
PRQ60969	1213	936.701	0	0
PRQ60968	707	434.582	0	0
PRQ60983	1242	965.701	18.779	56.9099
PRQ60982	897	622.088	0	0
PRQ60960	1141	864.701	0	0
PRQ60957	558	287.692	0	0
PRQ60958	3723	3446.7	7	5.94364
PRQ60956	375	116.757	0	0
PRQ60954	825	551.441	0	0
PRQ60963	783	509.816	0	0
PRQ60955	597	326.321	0	0
PRQ60959	500	230.354	2	25.4093
PRQ60962	3403	3126.7	0	0
PRQ60964	1764	1487.7	2.13255	4.1951
PRQ60961	771	497.968	7	41.1391
PRQ60965	1278	1001.7	0	0
PRQ60966	1692	1415.7	0.222931	0.460848
PRQ60950	2281	2004.7	0	0
PRQ60949	579	308.45	1.82653	17.3301
PRQ60953	528	257.938	0	0
PRQ60951	264	51.6201	3.04251	172.493
PRQ60952	848	574.044	0	0
PRQ60948	833	559.385	0	0
PRQ60946	1881	1604.7	0	0
PRQ60940	443	175.889	0	0
PRQ60929	460	191.753	0	0
PRQ60922	264	51.6201	0	0
PRQ60923	312	73.7575	0	0
PRQ60928	657	385.491	3	22.7754
PRQ60925	906	630.837	0	0
PRQ60942	372	114.327	0	0
PRQ60938	2338	2061.7	0	0
PRQ60941	711	438.582	0	0
PRQ60921	538	267.832	0.343688	3.75543
PRQ60933	674	402.172	0	0
PRQ60936	921	645.647	0	0
PRQ60926	2292	2015.7	0	0
PRQ60927	228	41.913	0	0
PRQ60931	264	51.6201	0	0
PRQ60947	1296	1019.7	2	5.74005
PRQ60943	420	154.609	0	0
PRQ60944	135	28.8353	0	0
PRQ60937	2365	2088.7	0	0
PRQ60935	816	542.441	0	0
PRQ60932	1339	1062.7	0	0
PRQ60939	343	92.879	0	0
PRQ60945	321	78.83	0	0
PRQ60924	876	601.395	0	0
PRQ60930	408	143.745	0	0
PRQ60934	707	434.582	0	0
PRQ60912	525	254.99	0	0
PRQ60915	336	88.3937	0	0
PRQ60916	486	216.714	1	13.5043
PRQ60919	253	47.874	0	0
PRQ60911	210	38.4727	0	0
PRQ60909	1227	950.701	7.72464	23.7789
PRQ60914	443	175.889	0	0
PRQ60913	780	506.867	0	0
PRQ60917	229	42.1199	0	0
PRQ60918	18254	17977.7	5.04349	0.821023
PRQ60910	694	421.84	4.78863	33.2217
PRQ60920	615	344.12	0	0
PRQ60908	860	585.811	0	0
PRQ60906	444	176.726	0	0
PRQ60907	262	50.9148	0	0
PRQ60893	813	539.55	1.51077	8.19454
PRQ60891	492	222.515	0	0
PRQ60895	483	213.845	0	0
PRQ60900	657	385.491	0	0
PRQ60904	3212	2935.7	2	1.99378
PRQ60892	1375	1098.7	0	0
PRQ60902	870	595.574	0	0
PRQ60903	1143	866.701	0	0
PRQ60894	999	722.701	0	0
PRQ60901	1606	1329.7	0	0
PRQ60905	477	208.081	0	0
PRQ60898	963	686.98	0	0
PRQ60890	318	77.1353	0	0
PRQ60896	273	54.9694	0	0
PRQ60897	477	208.081	0	0
PRQ60899	1990	1713.7	0	0
PRQ60886	459	190.772	0	0
PRQ60884	1611	1334.7	0	0
PRQ60888	297	65.573	0	0
PRQ60882	1865	1588.7	1	1.84211
PRQ60883	295	64.6703	0	0
PRQ60880	1968	1691.7	0	0
PRQ60885	213	38.9678	0	0
PRQ60881	2656	2379.7	0	0
PRQ60887	261	50.5409	0	0
PRQ60878	1746	1469.7	0	0
PRQ60879	1782	1505.7	2	3.88731
PRQ60889	1518	1241.7	0	0
PRQ60877	1247	970.701	0	0
PRQ60873	1107	830.701	4	14.092
PRQ60872	2413	2136.7	6	8.218
PRQ60875	1751	1474.7	0	0
PRQ60874	507	237.165	1	12.3398
PRQ60876	1562	1285.7	0	0
PRQ60863	531	260.859	1.23979	13.9092
PRQ60862	291	62.3742	9.99593	469.004
PRQ60859	289	61.5135	2.10059	99.9376
PRQ60857	1914	1637.7	0	0
PRQ60864	2684	2407.7	27.4045	33.3102
PRQ60870	387	126.542	1.46745	33.9382
PRQ60869	8265	7988.7	0	0
PRQ60865	813	539.55	0	0
PRQ60868	282	58.707	0	0
PRQ60858	576	305.481	0	0
PRQ60866	525	254.99	7.16299	82.2109
PRQ60867	612	341.12	0	0
PRQ60861	972	695.842	1.01214	4.25684
PRQ60860	405	141.268	0	0
PRQ60871	627	356.014	0	0
PRQ60849	3187	2910.7	5.14574	5.17379
PRQ60843	168	33.4634	0	0
PRQ60850	453	185.116	0	0
PRQ60852	250	47.1038	0	0
PRQ60841	1334	1057.7	0	0
PRQ60851	2024	1747.7	0	0
PRQ60844	372	114.327	0	0
PRQ60840	1588	1311.7	0	0
PRQ60855	1524	1247.7	3	7.0367
PRQ60842	396	133.821	0	0
PRQ60848	426	160.185	0	0
PRQ60854	494	224.515	1.60061	20.8641
PRQ60846	1194	917.701	0	0
PRQ60847	480	210.953	1	13.8731
PRQ60856	1252	975.701	2	5.9989
PRQ60845	3042	2765.7	0	0
PRQ60853	1013	736.701	0	0
PRQ60839	309	71.9106	0	0
PRQ60833	198	35.7908	0	0
PRQ60834	234	43.0505	0	0
PRQ60838	252	47.6223	0	0
PRQ60835	589	318.386	0	0
PRQ60836	211	38.5904	10.9976	834.017
PRQ60837	349	97.177	0	0
PRQ60832	636	364.796	0	0
PRQ60830	1337	1060.7	0	0
PRQ60831	1466	1189.7	0	0
PRQ60829	150	31.5952	0	0
PRQ60820	4386	4109.7	1	0.712112
PRQ60822	4752	4475.7	0	0
PRQ60826	240	44.402	0	0
PRQ60824	1011	734.701	0	0
PRQ60819	609	338.12	0	0
PRQ60827	1844	1567.7	0	0
PRQ60828	642	370.722	0	0
PRQ60825	509	239.165	0	0
PRQ60823	1554	1277.7	0	0
PRQ60821	1158	881.701	0	0
PRQ60800	490	220.515	0	0
PRQ60806	2595	2318.7	0	0
PRQ60813	188	34.7059	0	0
PRQ60815	402	138.87	0	0
PRQ60801	329	83.6409	0	0
PRQ60802	250	47.1038	0	0
PRQ60810	2238	1961.7	0	0
PRQ60805	1307	1030.7	0	0
PRQ60808	1222	945.701	0	0
PRQ60814	394	132.244	2	44.26
PRQ60807	1158	881.701	0	0
PRQ60818	1457	1180.7	0	0
PRQ60798	366	109.6	0	0
PRQ60811	363	107.398	0	0
PRQ60803	270	53.7082	0	0
PRQ60812	702	429.669	0	0
PRQ60804	2802	2525.7	0	0
PRQ60799	383	123.279	0	0
PRQ60817	618	347.05	0	0
PRQ60809	872	597.395	0	0
PRQ60816	270	53.7082	0	0
PRQ60795	1138	861.701	0	0
PRQ60790	138	28.525	0	0
PRQ60794	588	317.386	0.0690126	0.636355
PRQ60792	1226	949.701	0	0
PRQ60793	1644	1367.7	226.296	484.222
PRQ60797	977	700.842	1	4.17579
PRQ60791	681	409.049	1.90826	13.6527
PRQ60796	1332	1055.7	2.33169	6.46382
PRQ60763	561	290.663	0	0
PRQ60783	283	59.0432	0	0
PRQ60779	6864	6587.7	0	0
PRQ60789	282	58.707	0	0
PRQ60769	585	314.45	0	0
PRQ60786	1793	1516.7	10	19.2956
PRQ60773	336	88.3937	0	0
PRQ60780	10675	10398.7	0	0
PRQ60787	579	308.45	0	0
PRQ60774	540	269.832	0	0
PRQ60767	774	500.918	0	0
PRQ60777	1205	928.701	0	0
PRQ60765	219	40.3515	0	0
PRQ60775	1673	1396.7	1	2.09534
PRQ60768	1532	1255.7	0	0
PRQ60770	441	173.978	0	0
PRQ60776	433	166.661	0	0
PRQ60766	471	202.352	0	0
PRQ60764	216	39.3912	0	0
PRQ60788	426	160.185	0	0
PRQ60781	540	269.832	0	0
PRQ60761	534	263.832	0	0
PRQ60771	590	319.354	15.1807	139.116
PRQ60785	1470	1193.7	5	12.2584
PRQ60772	373	115.227	0	0
PRQ60784	2395	2118.7	4.08228	5.63886
PRQ60778	422	156.431	0	0
