target_id	length	eff_length	est_counts	tpm
BGIOSGA013239-TA	1185	909.49	2	12.7739
BGIOSGA028856-TA	543	267.988	0	0
BGIOSGA017372-TA	447	175.424	0	0
BGIOSGA022107-TA	1782	1506.49	3	11.5676
BGIOSGA032186-TA	1089	813.49	0	0
BGIOSGA035117-TA	366	108.397	0	0
BGIOSGA036507-TA	1887	1611.49	0	0
BGIOSGA004130-TA	267	59.5311	0	0
BGIOSGA033191-TA	351	98.2026	0	0
BGIOSGA032684-TA	975	699.49	8	66.4352
BGIOSGA024392-TA	315	77.6091	0	0
BGIOSGA000752-TA	1890	1614.49	0	0
BGIOSGA031854-TA	906	630.49	0	0
BGIOSGA019027-TA	1077	801.49	5	36.2378
BGIOSGA005053-TA	663	387.53	0	0
BGIOSGA026092-TA	1341	1065.49	0	0
BGIOSGA001652-TA	852	576.49	0	0
BGIOSGA036579-TA	3015	2739.49	0	0
BGIOSGA004321-TA	1512	1236.49	0	0
BGIOSGA022597-TA	1887	1611.49	2	7.20928
BGIOSGA026268-TA	1245	969.49	0	0
BGIOSGA018579-TA	381	119.041	6	292.782
BGIOSGA017484-TA	894	618.49	0	0
BGIOSGA009189-TA	798	522.49	0	0
BGIOSGA008622-TA	1479	1203.49	0	0
BGIOSGA024943-TA	537	261.988	1	22.1721
BGIOSGA004573-TA	3084	2808.49	0	0
BGIOSGA025853-TA	1416	1140.49	1	5.09329
BGIOSGA013861-TA	1323	1047.49	0	0
BGIOSGA002007-TA	375	114.858	0	0
BGIOSGA008154-TA	495	220.829	0	0
BGIOSGA030264-TA	1134	858.49	3	20.2991
BGIOSGA001911-TA	675	399.53	0	0
BGIOSGA020673-TA	1086	810.49	0	0
BGIOSGA001374-TA	798	522.49	0	0
BGIOSGA019269-TA	1095	819.49	1	7.08837
BGIOSGA024298-TA	1095	819.49	1	7.08837
BGIOSGA001937-TA	726	450.49	2	25.789
BGIOSGA013329-TA	1344	1068.49	0	0
BGIOSGA003282-TA	987	711.49	0	0
BGIOSGA026959-TA	825	549.49	4	42.2854
BGIOSGA024810-TA	387	123.613	0	0
BGIOSGA015096-TA	693	417.49	0	0
BGIOSGA027000-TA	522	247.29	0	0
BGIOSGA005535-TA	1482	1206.49	0	0
BGIOSGA021039-TA	1428	1152.49	0	0
BGIOSGA011771-TA	876	600.49	7	67.7146
BGIOSGA023305-TA	540	264.988	2	43.8423
BGIOSGA025691-TA	408	140.887	0	0
BGIOSGA036370-TA	3102	2826.49	0	0
BGIOSGA020697-TA	723	447.49	0	0
BGIOSGA025693-TA	270	60.0757	0	0
BGIOSGA022741-TA	1629	1353.49	2	8.5835
BGIOSGA025366-TA	741	465.49	0	0
BGIOSGA003329-TA	2400	2124.49	2	5.46846
BGIOSGA029474-TA	621	345.53	0	0
BGIOSGA030267-TA	528	253.04	1	22.9562
BGIOSGA005524-TA	2073	1797.49	7	22.6215
BGIOSGA001634-TA	246	54.3502	0	0
BGIOSGA010798-TA	423	153.77	0	0
BGIOSGA006058-TA	384	121.285	0	0
BGIOSGA035393-TA	888	612.49	0	0
BGIOSGA005338-TA	606	330.53	1	17.5743
BGIOSGA029529-TA	483	209.431	0	0
BGIOSGA034061-TA	750	474.49	0	0
BGIOSGA006740-TA	393	128.454	1	45.2212
BGIOSGA028679-TA	642	366.53	0	0
BGIOSGA016445-TA	864	588.49	0	0
BGIOSGA019020-TA	930	654.49	0	0
BGIOSGA017051-TA	849	573.49	0	0
BGIOSGA022749-TA	2316	2040.49	0	0
BGIOSGA004662-TA	546	270.988	0	0
BGIOSGA034558-TA	1026	750.49	0	0
BGIOSGA013685-TA	813	537.49	1	10.8074
BGIOSGA032612-TA	600	324.595	0	0
BGIOSGA019044-TA	1080	804.49	0	0
BGIOSGA004688-TA	2628	2352.49	0	0
BGIOSGA022048-TA	726	450.49	0	0
BGIOSGA011915-TA	597	321.595	2	36.1252
BGIOSGA012010-TA	603	327.53	1	17.7353
BGIOSGA022028-TA	2277	2001.49	1	2.90226
BGIOSGA034623-TA	438	167.28	0	0
BGIOSGA006141-TA	1365	1089.49	0	0
BGIOSGA024650-TA	615	339.53	0	0
BGIOSGA025705-TA	408	140.887	0	0
BGIOSGA007786-TA	3456	3180.49	0	0
BGIOSGA031981-TA	840	564.49	10	102.904
BGIOSGA035250-TA	2757	2481.49	6	14.0452
BGIOSGA012285-TA	321	80.5155	0	0
BGIOSGA032339-TA	555	279.988	1	20.7467
BGIOSGA016176-TA	177	38.9285	0	0
BGIOSGA032341-TA	2094	1818.49	5	15.9716
BGIOSGA033058-TA	1623	1347.49	0	0
BGIOSGA026195-TA	426	156.341	0	0
BGIOSGA000558-TA	315	77.6091	0	0
BGIOSGA025258-TA	1218	942.49	18	110.939
BGIOSGA000736-TA	738	462.49	0	0
BGIOSGA014372-TA	1023	747.49	1	7.77113
BGIOSGA023183-TA	342	92.2507	1	62.968
BGIOSGA007913-TA	252	55.582	0	0
BGIOSGA032492-TA	1452	1176.49	0	0
BGIOSGA014312-TA	2091	1815.49	17	54.3932
BGIOSGA028198-TA	1122	846.49	0	0
BGIOSGA034158-TA	1371	1095.49	1	5.30251
BGIOSGA037603-TA	615	339.53	2	34.2169
BGIOSGA035646-TA	2058	1782.49	2	6.51767
BGIOSGA020047-TA	231	49.9866	0	0
BGIOSGA000353-TA	1023	747.49	6	46.6268
BGIOSGA028261-TA	639	363.53	0	0
BGIOSGA004642-TA	1404	1128.49	3	15.4423
BGIOSGA020421-TA	816	540.49	2	21.4947
BGIOSGA001447-TA	402	135.784	0	0
BGIOSGA037003-TA	1260	984.49	1	5.90036
BGIOSGA036737-TA	1242	966.49	6	36.0615
BGIOSGA010543-TA	477	203.701	17	484.78
BGIOSGA035696-TA	2658	2382.49	6	14.6288
BGIOSGA033669-TA	504	229.601	0	0
BGIOSGA031970-TA	1500	1224.49	0	0
BGIOSGA029224-TA	462	189.433	0	0
BGIOSGA033278-TA	495	220.829	1	26.3048
BGIOSGA017413-TA	2820	2544.49	15	34.2437
BGIOSGA018943-TA	243	53.5114	0	0
BGIOSGA002879-TA	1302	1026.49	0	0
BGIOSGA000156-TA	1269	993.49	0	0
BGIOSGA031836-TA	648	372.53	0	0
BGIOSGA014498-TA	1203	927.49	0	0
BGIOSGA012352-TA	3111	2835.49	16	32.7779
BGIOSGA034518-TA	1524	1248.49	0	0
BGIOSGA021834-TA	432	161.786	0	0
BGIOSGA027610-TA	429	159.115	0	0
BGIOSGA001166-TA	414	145.919	0	0
BGIOSGA018443-TA	327	83.6571	0	0
BGIOSGA037575-TA	342	92.2507	0	0
BGIOSGA026550-TA	417	148.568	0	0
BGIOSGA017799-TA	312	76.2789	2	152.305
BGIOSGA012561-TA	321	80.5155	0	0
BGIOSGA012665-TA	429	159.115	2	73.0146
BGIOSGA012251-TA	1362	1086.49	1	5.34643
BGIOSGA011659-TA	1770	1494.49	0	0
BGIOSGA029593-TA	1893	1617.49	15	53.8691
BGIOSGA036380-TA	672	396.53	0	0
BGIOSGA029906-TA	1416	1140.49	4	20.3732
BGIOSGA001317-TA	828	552.49	3	31.5418
BGIOSGA007264-TA	3123	2847.49	0	0
BGIOSGA017996-TA	1728	1452.49	2	7.99846
BGIOSGA000697-TA	2022	1746.49	0	0
BGIOSGA000169-TA	534	259.014	0	0
BGIOSGA029174-TA	1158	882.49	4	26.3293
BGIOSGA001613-TA	360	104.152	0.805627	44.932
