target_id	length	eff_length	est_counts	tpm
PRQ61060	409	135.218	1.43779	7.85158
PRQ61057	722	436.942	0	0
PRQ61059	551	268.354	0	0
PRQ61058	534	251.592	4.51877	13.2623
PRQ61056	292	61.6425	7.84757	94.0049
PRQ61055	300	64.7429	0.371449	4.23645
PRQ61052	601	317.746	3	6.97167
PRQ61054	417	141.988	2	10.401
PRQ61053	510	228.077	0	0
PRQ61051	310	68.8188	0	0
PRQ61050	433	155.75	1.4072	6.67151
PRQ61049	449	170.243	0	0
PRQ61048	406	132.73	0	0
PRQ61047	2663	2375.77	0	0
PRQ61046	3716	3428.77	0	0
PRQ61045	1539	1251.77	0	0
PRQ61044	407	133.475	1	5.53218
PRQ61041	336	82.0554	0	0
PRQ61020	1502	1214.77	0	0
PRQ61040	231	45.6768	0	0
PRQ61034	253	50.2435	0	0
PRQ61032	915	628.494	0	0
PRQ61033	1640	1352.77	0	0
PRQ61036	1496	1208.77	0	0
PRQ61025	878	591.615	6	7.48871
PRQ61024	1724	1436.77	0	0
PRQ61026	1041	753.77	0	0
PRQ61031	1842	1554.77	1	0.474929
PRQ61035	1260	972.77	2	1.51815
PRQ61037	1497	1209.77	2	1.22074
PRQ61021	421	145.34	0	0
PRQ61042	422	146.127	0	0
PRQ61023	475	194.752	0	0
PRQ61027	249	48.9187	0	0
PRQ61022	1924	1636.77	0	0
PRQ61030	738	452.808	4.83141	7.87871
PRQ61018	530	247.667	0	0
PRQ61019	503	221.44	0	0
PRQ61017	1369	1081.77	0	0
PRQ61043	740	454.808	0	0
PRQ61039	407	133.475	4	22.1287
PRQ61029	3323	3035.77	0	0
PRQ61038	791	505.527	0	0
PRQ61028	675	390.808	0	0
PRQ61015	1515	1227.77	0	0
PRQ61016	23929	23641.8	37.1906	1.16158
PRQ61013	447	168.365	0	0
PRQ61014	1045	757.77	1	0.974446
PRQ60998	1035	747.77	0	0
PRQ60992	230	45.4488	0.449833	7.30842
PRQ61012	2730	2442.77	0	0
PRQ60988	2472	2184.77	0	0
PRQ60990	402	129.711	0	0
PRQ60989	366	101.842	0	0
PRQ60995	1714	1426.77	2	1.03507
PRQ60991	2043	1755.77	3	1.26168
PRQ61009	828	542.419	0	0
PRQ61001	369	103.946	0	0
PRQ61006	573	289.959	0	0
PRQ61005	651	366.959	0	0
